0,1,2,3,4,5,6,7,8,9,10,11,12,13
26.0,159666.0,0.721,0.785,4.0,-4.473,1.0,0.0292,0.0882,8.32e-05,0.104,0.878,111.993,4.0
27.0,197266.0,0.308,0.854,4.0,-8.006,1.0,0.0494,0.0593,0.00718,0.903,0.689,193.395,4.0
26.0,203702.0,0.531,0.289,0.0,-13.246,0.0,0.0505,0.854,0.0,0.0918,0.611,124.157,4.0
25.0,209530.0,0.503,0.354,0.0,-7.493,1.0,0.0329,0.938,0.0,0.0987,0.372,72.295,3.0
26.0,274133.0,0.279,0.498,4.0,-8.52,1.0,0.035,0.217,0.0,0.348,0.492,183.874,4.0
28.0,154106.0,0.49,0.198,7.0,-13.405,1.0,0.0341,0.973,0.0212,0.125,0.636,106.71,4.0
27.0,230691.0,0.425,0.752,9.0,-4.649,0.0,0.0398,0.305,0.0,0.157,0.844,105.466,4.0
25.0,141176.0,0.879,0.411,8.0,-5.146,1.0,0.0376,0.61,0.0,0.296,0.609,119.013,4.0
27.0,149214.0,0.565,0.611,5.0,-9.124,1.0,0.0676,0.345,2.46e-05,0.0527,0.914,137.289,4.0
27.0,220832.0,0.554,0.655,11.0,-8.074,1.0,0.0388,0.00193,0.56,0.28,0.363,100.423,4.0
25.0,226786.0,0.644,0.34,0.0,-6.759,1.0,0.027,0.491,0.0,0.0829,0.298,129.997,4.0
27.0,104306.0,0.682,0.666,0.0,-4.823,1.0,0.0381,0.0602,7.99e-05,0.208,0.79,93.992,4.0
24.0,180000.0,0.556,0.511,3.0,-5.425,1.0,0.0298,0.782,4.54e-05,0.0989,0.537,81.613,4.0
25.0,126951.0,0.608,0.15,11.0,-12.729,1.0,0.0321,0.863,0.0,0.124,0.434,81.988,4.0
27.0,198136.0,0.439,0.532,2.0,-5.071,1.0,0.0473,0.618,0.0,0.142,0.437,129.936,4.0
44.0,230186.0,0.602,0.404,2.0,-7.344,1.0,0.0272,0.31,0.0,0.14,0.243,83.054,4.0
26.0,246773.0,0.675,0.366,2.0,-13.493,1.0,0.0759,0.719,0.00105,0.191,0.411,72.662,4.0
25.0,242001.0,0.667,0.0119,0.0,-16.177,1.0,0.0636,0.867,0.0,0.288,0.408,133.277,4.0
45.0,236200.0,0.405,0.428,5.0,-9.506,1.0,0.0277,0.0182,1.44e-06,0.14,0.331,145.515,3.0
25.0,187908.0,0.491,0.561,11.0,-7.225,1.0,0.0246,0.108,0.0,0.139,0.22,151.943,4.0
37.0,213620.0,0.674,0.52,0.0,-10.106,1.0,0.0511,0.272,2.41e-06,0.151,0.422,116.029,4.0
26.0,133500.0,0.586,0.115,7.0,-20.442,1.0,0.0563,0.836,0.926,0.11,0.885,179.941,4.0
51.0,361013.0,0.502,0.309,5.0,-12.12,1.0,0.0308,0.575,0.000894,0.0953,0.273,119.236,4.0
26.0,300626.0,0.755,0.918,8.0,-3.558,1.0,0.0397,0.356,2.23e-06,0.319,0.634,111.017,4.0
47.0,178659.0,0.723,0.93,0.0,-3.292,1.0,0.128,0.239,0.0,0.155,0.69,124.94,4.0
